@odata.etag,cr4e2_businessunit@OData.Community.Display.V1.FormattedValue,cr4e2_businessunit,cr4e2_businessadoptiondate,cr4e2_lateststatusupdate,cr4e2_overallcompleteness@OData.Community.Display.V1.FormattedValue,cr4e2_overallcompleteness,cr4e2_usecasetitle,cr4e2_owner,cr4e2_businesscontacts,cr4e2_affectedkeyusers,cr4e2_pr@OData.Community.Display.V1.FormattedValue,cr4e2_pr,cr4e2_deliverydate,cr4e2_lineofbusiness,cr4e2_heatmamapping@OData.Community.Display.V1.FormattedValue,cr4e2_heatmamapping,cr4e2_owneremail,cr4e2_value,cr4e2_overallstatus,cr4e2_scope,cr4e2_marketingid,cr4e2_problemstatement,cr4e2_usecasetype@OData.Community.Display.V1.FormattedValue,cr4e2_usecasetype
"W/""3261593""",Sales,743090001,02.26,"Started in Sprint 4 (Oct 20), collect requirements, then check feasibility",85,85,SP-2234 - 180 SMC PoC,"Carol Marchesy, Nitin Singil",Suzanne McFady,Sales,Green,743090001,01.26,Sales,5. Feature Development,743090004,patrick.schnepf@stud.fra-uas.de,"Value Measurement:​
Single Source of Truth
Scalable Foundation
KPI to be measured",test,"Transition EDP
Phase 1 : Sync EDP and Outreach 
Solution Contacts​
Key Contacts​
Phase 2 : Expand EDP ",69c66e4b-13ea-f011-8406-000d3ab7bcc2,"Currently, CRM is the primary source for managing contacts",CDP Business Adoption,743090000
"W/""3261596""",Marketing,743090000,03.26,"Behavioral events mapped, engagement model validated, pilot running",85,85,Account-Based Engagement Scoring,Julia Weber,"Marketing Ops, Digital Campaigns","ABM Managers, Campaign Leads",,,02.26,Marketing,6. Testing & Business Sign-off,743090005,patrick.schnepf@stud.fra-uas.de,"Increase engagement relevance and prioritization of target accounts. KPI: +20% engagement score, +15% CTR",,"Target Accounts in EMEA, Personas: CIO, CMO
Value",ddbbc7e9-3ef8-f011-8407-000d3ab7bcc2,Lack of consistent engagement scoring across channels leads to inefficient ABM prioritization,CDP Business Adoption,743090000
"W/""3261726""",Compliance,743090002,02.26,"Consent objects aligned, integration tested",95,95,CMP-CPM-3301 – Unified Consent & Preference Center,Sophie Lang,Data Privacy Ops,"Legal, Marketing Ops",,,01.26,"Compliance, Marketing",7. Technical Go-Live,743090006,patrick.schnepf@stud.fra-uas.de,Ensure regulatory compliance and transparent consent management,Fragmented consent storage creates compliance risks,"Global contacts, GDPR & CBDT",d79c62d0-3ff8-f011-8407-000d3ab7bcc2,Fragmented consent storage creates compliance risks,CDP Business Adoption,743090000
"W/""3261828""",Sales,743090001,08.26,"Attribution model defined, CDP–CRM sync live",85,85,SAL-OIA-4410 – Opportunity Influence Attribution,Daniel Roth,Revenue Ops,Sales Management,,,08.26,Sales,5. Feature Development,743090004,patrick.schnepf@stud.fra-uas.de,Improve forecast accuracy and marketing-sales alignment,,Strategic Accounts,f61e692b-40f8-f011-8407-000d3ab7bcc2,Lack of transparency on marketing influence on pipeline,CDP Business Adoption,743090000
"W/""3350475""",,,,,,,,,,,,,,,,,,,,,4705a88a-c3fe-f011-8407-000d3ab7bcc2,,,
"W/""3350478""",Marketing,743090000,1.1,111111,80,80,NEUERTEST,OWNER,asas,asas,,,1.1,asas,2. Architecture & Feasibility Check,743090001,patrick.schnepf@stud.fra-uas.de,asas,,asas,3328acc6-c3fe-f011-8407-000d3ab7bcc2,asas,CDP Business Adoption,743090000
"W/""3350938""",Marketing,743090000,1202,fasas,80,80,marketingnew2,yarrakboss,sss,asas,,,2102,wor,5. Feature Development,743090004,patrick.schnepf@stud.fra-uas.de,zses,,ss,791ea02d-53ff-f011-8407-000d3ab7bcc2,uses,CDP Business Adoption,743090000
"W/""3350944""",Marketing,743090000,0.08,turem,10,10,marketing5,78,asas,pomber,,,09.2,asas,1. Jira Set-up & One Pager,743090000,patrick.schnepf@stud.fra-uas.de,uuwuuw,,hwhwh,09832558-53ff-f011-8407-000d3ab7bcc2,yurrr,CDP Business Adoption,743090000
"W/""3350950""",Marketing,743090000,1234,asas,90,90,finalmarketing boss,user34,asas,asas,,,12.07,asas,1. Jira Set-up & One Pager,743090000,patrick.schnepf@stud.fra-uas.de,asas,,asas,f4f9b1a8-53ff-f011-8407-000d3ab7bcc2,asas,CDP Business Adoption,743090000
"W/""3259837""",Customer Success,743090003,06.2026,This is the lsu for test purposes,,,Net New Account Qualification & Conversion Processes,Krishn Kumala,Peter Zwegat,Marketing,Green,743090001,04.2026,IDM,8. Business Adoption,743090007,patrick.schnepf@stud.fra-uas.de,This is the v&kpi for test purposes,This is the os for test purposes,This is the scope for test purposes,a5a49d77-aeef-f011-8406-7ced8d731874,This is the ps for test purposes,CDP Foundational Use Case,743090001
